Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
7400,0.133832,0.173051,0.811203,0.726983,0.819768,1.019263,0.683288,0.556570
7500,0.130732,0.170921,0.815353,0.731139,0.801376,1.008375,0.692279,0.564257
7600,0.128202,0.169254,0.817427,0.735232,0.786397,1.000204,0.699501,0.570279
7700,0.125854,0.167637,0.819502,0.738381,0.772601,0.992418,0.706160,0.576020
7800,0.117892,0.159339,0.831950,0.752467,0.727288,0.947585,0.729508,0.602922
7900,0.115529,0.156740,0.831950,0.755846,0.714370,0.934318,0.736120,0.611348
8000,0.112739,0.153192,0.836100,0.759604,0.699859,0.916551,0.744067,0.622587
8100,0.119590,0.158837,0.836100,0.750073,0.746370,0.954844,0.723661,0.605034
8200,0.104745,0.136574,0.854772,0.787250,0.661598,0.834066,0.766163,0.673763
8300,0.100778,0.133068,0.871369,0.801167,0.641720,0.819234,0.777401,0.684248
8400,0.099371,0.129945,0.871369,0.811915,0.634215,0.805619,0.780721,0.693386
8500,0.098337,0.133796,0.860996,0.802930,0.626574,0.824599,0.783251,0.681785
8600,0.093360,0.129951,0.877593,0.811768,0.601770,0.807277,0.796284,0.693006
8700,0.101642,0.138653,0.863071,0.797368,0.639595,0.851901,0.772414,0.667932
8800,0.107042,0.139384,0.850622,0.799551,0.666720,0.861832,0.757058,0.666039
8900,0.089926,0.122488,0.877593,0.828078,0.583131,0.779022,0.803947,0.714302
9000,0.095869,0.132756,0.873444,0.809669,0.612415,0.835301,0.787131,0.685008
9100,0.090965,0.129410,0.879668,0.816008,0.586123,0.819056,0.799996,0.694601
9200,0.090390,0.129573,0.881743,0.815945,0.582873,0.821847,0.801257,0.694226
9300,0.087862,0.127893,0.879668,0.818401,0.567608,0.812013,0.807717,0.699054
9400,0.087693,0.128241,0.879668,0.819346,0.570017,0.819793,0.807919,0.698138
9500,0.090176,0.127057,0.871369,0.819682,0.576424,0.805229,0.801135,0.701633
9600,0.083633,0.124612,0.883817,0.824867,0.542326,0.801424,0.818585,0.708548
9700,0.079204,0.120821,0.902490,0.831668,0.519179,0.783659,0.829970,0.719015
9800,0.078638,0.119584,0.896266,0.832886,0.518068,0.774834,0.831043,0.722498
9900,0.077200,0.119791,0.902490,0.832823,0.508462,0.775909,0.834484,0.721976
10000,0.073096,0.113130,0.902490,0.841618,0.490619,0.734834,0.844809,0.739931
10100,0.083083,0.121078,0.879668,0.830702,0.534868,0.782004,0.818709,0.718886
10200,0.086699,0.131132,0.879668,0.816974,0.549659,0.837905,0.809217,0.691974
10300,0.087337,0.129243,0.879668,0.820416,0.552836,0.830703,0.807402,0.697170
10400,0.075103,0.123458,0.900415,0.828435,0.490518,0.798642,0.838681,0.712562
10500,0.074011,0.122968,0.900415,0.829212,0.484160,0.797898,0.841302,0.714017
10600,0.073974,0.123104,0.898340,0.829002,0.483286,0.800136,0.841262,0.713820
10700,0.073068,0.122574,0.900415,0.830492,0.478240,0.798787,0.843432,0.715355
10800,0.072803,0.122167,0.898340,0.831458,0.476566,0.797911,0.843987,0.716543
10900,0.083294,0.124244,0.887967,0.828603,0.535796,0.809560,0.817265,0.711015
11000,0.076441,0.123955,0.894191,0.827659,0.493917,0.804745,0.834694,0.712250
11100,0.072970,0.120679,0.898340,0.834019,0.477789,0.795303,0.843182,0.720523
11200,0.076731,0.121778,0.894191,0.832256,0.501532,0.803981,0.833747,0.717852
11300,0.074727,0.120930,0.900415,0.833662,0.490244,0.802381,0.838689,0.720227
11400,0.066097,0.114714,0.904564,0.842164,0.441451,0.755246,0.859873,0.736511
11500,0.067247,0.116221,0.908714,0.841072,0.446686,0.771165,0.856927,0.732648
11600,0.065122,0.115327,0.912863,0.841891,0.434921,0.765496,0.862061,0.735059
11700,0.070635,0.121286,0.900415,0.833998,0.461302,0.808972,0.848509,0.719672
11800,0.066887,0.108961,0.906639,0.849700,0.442038,0.722598,0.857813,0.751525
11900,0.071397,0.110563,0.894191,0.848020,0.465773,0.737570,0.846602,0.747456
12000,0.070283,0.110589,0.894191,0.848482,0.459691,0.739419,0.849328,0.747433
12100,0.069463,0.110583,0.896266,0.849007,0.455008,0.740357,0.851303,0.747493
12200,0.068756,0.110580,0.896266,0.848818,0.450840,0.741088,0.852986,0.747547
12300,0.068119,0.110576,0.898340,0.848587,0.447000,0.741707,0.854490,0.747600
12400,0.067533,0.110573,0.898340,0.849049,0.443415,0.742256,0.855865,0.747655
12500,0.066995,0.110571,0.898340,0.849028,0.440097,0.742774,0.857121,0.747708
12600,0.075199,0.123566,0.896266,0.832613,0.485010,0.826509,0.836840,0.714634
12700,0.066501,0.116669,0.904564,0.840338,0.435572,0.782783,0.858005,0.732280
12800,0.060808,0.115788,0.917012,0.841429,0.406961,0.775990,0.871776,0.734620
12900,0.060816,0.115471,0.912863,0.842752,0.405970,0.774939,0.871717,0.735464
13000,0.060141,0.115631,0.914938,0.842122,0.402023,0.776870,0.873283,0.735117
13100,0.062717,0.116133,0.910788,0.841828,0.413845,0.782427,0.866993,0.733897
13200,0.063407,0.115981,0.900415,0.842122,0.417791,0.774749,0.865357,0.734412
13300,0.064667,0.113115,0.900415,0.847223,0.423937,0.764321,0.862345,0.741666
13400,0.071633,0.122765,0.892116,0.833662,0.461789,0.826913,0.845207,0.717526
13500,0.060378,0.111114,0.912863,0.847853,0.401659,0.744645,0.872542,0.746767
13600,0.065372,0.116632,0.910788,0.841072,0.428207,0.783873,0.860494,0.732886
13700,0.065612,0.111273,0.910788,0.844851,0.430120,0.742619,0.859689,0.746567
13800,0.071771,0.124096,0.896266,0.831437,0.465210,0.834401,0.844952,0.714162
13900,0.062967,0.113445,0.906639,0.845229,0.411400,0.772359,0.866220,0.741082
14000,0.059117,0.111552,0.914938,0.845690,0.393246,0.748219,0.875313,0.745929
14100,0.059183,0.112770,0.910788,0.845711,0.391709,0.766382,0.875294,0.742832
14200,0.058139,0.114860,0.923237,0.841912,0.385986,0.773947,0.877547,0.737800
14300,0.067753,0.130190,0.904564,0.822201,0.440635,0.878459,0.854374,0.699849
14400,0.064857,0.127631,0.906639,0.825979,0.425538,0.859852,0.861299,0.706259
14500,0.063911,0.120054,0.910788,0.836412,0.411613,0.816264,0.863497,0.725227
14600,0.056712,0.118886,0.925311,0.835069,0.381069,0.795545,0.880768,0.727833
14700,0.055848,0.116403,0.921162,0.838973,0.375865,0.786923,0.882713,0.734099
14800,0.066591,0.112464,0.919087,0.841387,0.432569,0.751276,0.857094,0.744034
14900,0.074671,0.122492,0.890041,0.828981,0.473250,0.844774,0.837637,0.718991
15000,0.066914,0.123419,0.906639,0.831584,0.427667,0.842039,0.856158,0.717318
