Threshold,False Positive Rate (x),True Positive Rate (y)
0.460000,0.114250,0.910262
0.461000,0.113835,0.910262
0.462000,0.113419,0.910262
0.463000,0.113419,0.909015
0.464000,0.113004,0.909015
0.465000,0.112588,0.909015
0.466000,0.111757,0.908600
0.467000,0.110511,0.908600
0.468000,0.109680,0.908184
0.469000,0.109265,0.907769
0.470000,0.108849,0.907769
0.471000,0.108434,0.907354
0.472000,0.108434,0.906938
0.473000,0.108434,0.906523
0.474000,0.107603,0.906523
0.475000,0.107603,0.906107
0.476000,0.107603,0.905692
0.477000,0.107603,0.905692
0.478000,0.107603,0.905692
0.479000,0.107603,0.905276
0.480000,0.107603,0.904861
0.481000,0.107603,0.904030
0.482000,0.107603,0.904030
0.483000,0.107603,0.903614
0.484000,0.106772,0.903614
0.485000,0.106772,0.903614
0.486000,0.106356,0.903199
0.487000,0.105941,0.903199
0.488000,0.104695,0.902368
0.489000,0.104695,0.901953
0.490000,0.104279,0.901537
0.491000,0.104279,0.901537
0.492000,0.104279,0.901122
0.493000,0.103448,0.900706
0.494000,0.103033,0.900706
0.495000,0.102617,0.900706
0.496000,0.102617,0.900291
0.497000,0.101786,0.899875
0.498000,0.101371,0.899460
0.499000,0.100956,0.899460
0.500000,0.100540,0.899460
0.501000,0.100540,0.899460
0.502000,0.100125,0.898629
0.503000,0.100125,0.898629
0.504000,0.099709,0.897383
0.505000,0.099709,0.897383
0.506000,0.099709,0.896552
0.507000,0.099709,0.896552
0.508000,0.099709,0.895721
0.509000,0.099709,0.895305
0.510000,0.098463,0.895305
0.511000,0.098047,0.895305
0.512000,0.098047,0.895305
0.513000,0.097632,0.895305
0.514000,0.097632,0.894059
0.515000,0.096801,0.893644
0.516000,0.096386,0.892813
0.517000,0.096386,0.892813
0.518000,0.096386,0.892813
0.519000,0.095970,0.892813
0.520000,0.095555,0.892397
0.521000,0.095139,0.892397
0.522000,0.094724,0.892397
0.523000,0.094308,0.892397
0.524000,0.093893,0.892397
0.525000,0.093477,0.892397
0.526000,0.093477,0.891982
0.527000,0.093477,0.891566
0.528000,0.093477,0.891151
0.529000,0.092646,0.891151
0.530000,0.092231,0.891151
0.531000,0.091816,0.891151
0.532000,0.091816,0.890735
0.533000,0.091816,0.889904
0.534000,0.091400,0.888243
0.535000,0.090985,0.887412
0.536000,0.090985,0.887412
0.537000,0.090569,0.886996
0.538000,0.090154,0.886581
0.539000,0.090154,0.886581
0.540000,0.090154,0.886581
0.541000,0.089323,0.885334
0.542000,0.088076,0.885334
0.543000,0.087246,0.884504
0.544000,0.086830,0.884088
0.545000,0.086415,0.883257
0.546000,0.086415,0.883257
0.547000,0.086415,0.882842
0.548000,0.086415,0.882426
0.549000,0.086415,0.882426
0.550000,0.085999,0.881595
0.551000,0.085584,0.880764
0.552000,0.084753,0.880349
0.553000,0.084337,0.879934
0.554000,0.084337,0.879103
0.555000,0.083922,0.878687
0.556000,0.083506,0.878272
0.557000,0.083506,0.878272
0.558000,0.083506,0.877856
0.559000,0.083091,0.877441
0.560000,0.083091,0.877441
0.561000,0.082260,0.876194
0.562000,0.082260,0.875779
0.563000,0.082260,0.875779
0.564000,0.082260,0.875779
0.565000,0.082260,0.875779
0.566000,0.081845,0.875364
