Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
7400,0.233784,0.239060,0.591286,0.577354,1.315926,1.338229,0.255522,0.210645
7500,0.233639,0.239017,0.595436,0.577627,1.315175,1.337919,0.256691,0.211069
7600,0.233495,0.238970,0.595436,0.577942,1.314420,1.337590,0.257854,0.211525
7700,0.233351,0.238920,0.591286,0.578425,1.313663,1.337243,0.259007,0.212013
7800,0.233207,0.238867,0.597510,0.578173,1.312906,1.336881,0.260148,0.212527
7900,0.233065,0.238810,0.597510,0.578047,1.312151,1.336503,0.261273,0.213067
8000,0.232924,0.238751,0.601660,0.578404,1.311399,1.336113,0.262383,0.213629
8100,0.232784,0.238689,0.603734,0.578467,1.310651,1.335710,0.263475,0.214212
8200,0.232646,0.238625,0.607884,0.578656,1.309908,1.335296,0.264551,0.214814
8300,0.232509,0.238559,0.614108,0.578320,1.309169,1.334871,0.265612,0.215434
8400,0.232374,0.238490,0.609959,0.577984,1.308433,1.334437,0.266659,0.216073
8500,0.232238,0.238418,0.612033,0.577648,1.307700,1.333991,0.267697,0.216729
8600,0.232103,0.238344,0.607884,0.577228,1.306969,1.333535,0.268729,0.217407
8700,0.231968,0.238267,0.605809,0.576934,1.306235,1.333066,0.269761,0.218107
8800,0.231831,0.238186,0.605809,0.576808,1.305498,1.332583,0.270799,0.218834
8900,0.231692,0.238100,0.605809,0.576787,1.304751,1.332082,0.271852,0.219594
9000,0.231549,0.238010,0.605809,0.576515,1.303991,1.331560,0.272928,0.220393
9100,0.231402,0.237913,0.607884,0.576368,1.303211,1.331012,0.274038,0.221241
9200,0.231248,0.237809,0.605809,0.575612,1.302405,1.330432,0.275194,0.222148
9300,0.231086,0.237696,0.607884,0.575507,1.301566,1.329813,0.276409,0.223127
9400,0.230914,0.237571,0.612033,0.574982,1.300687,1.329146,0.277693,0.224191
9500,0.230732,0.237434,0.614108,0.574646,1.299759,1.328423,0.279057,0.225356
9600,0.230537,0.237282,0.616183,0.573870,1.298778,1.327635,0.280509,0.226635
9700,0.230329,0.237113,0.614108,0.572421,1.297737,1.326773,0.282053,0.228043
9800,0.230108,0.236927,0.612033,0.570931,1.296634,1.325831,0.283690,0.229587
9900,0.229874,0.236722,0.607884,0.568916,1.295468,1.324804,0.285417,0.231276
10000,0.229627,0.236499,0.599585,0.567173,1.294238,1.323689,0.287230,0.233111
10100,0.229367,0.236256,0.593361,0.564969,1.292945,1.322485,0.289123,0.235093
10200,0.229096,0.235993,0.591286,0.562891,1.291589,1.321189,0.291097,0.237224
10300,0.228811,0.235710,0.591286,0.560960,1.290168,1.319800,0.293153,0.239504
10400,0.228513,0.235406,0.593361,0.559196,1.288675,1.318313,0.295302,0.241941
10500,0.228198,0.235079,0.591286,0.556929,1.287104,1.316721,0.297560,0.244545
10600,0.227865,0.234727,0.587137,0.554515,1.285442,1.315016,0.299945,0.247331
10700,0.227509,0.234348,0.585062,0.552962,1.283675,1.313188,0.302480,0.250311
10800,0.227129,0.233940,0.587137,0.551933,1.281789,1.311229,0.305181,0.253495
10900,0.226723,0.233505,0.585062,0.551199,1.279776,1.309140,0.308055,0.256872
11000,0.226291,0.233047,0.585062,0.550380,1.277635,1.306936,0.311082,0.260408
11100,0.225840,0.232574,0.589212,0.550569,1.275384,1.304647,0.314217,0.264032
11200,0.225378,0.232099,0.593361,0.551786,1.273056,1.302324,0.317379,0.267639
11300,0.224916,0.231638,0.589212,0.554578,1.270702,1.300033,0.320468,0.271103
11400,0.224469,0.231207,0.580913,0.558378,1.268378,1.297838,0.323380,0.274304
11500,0.224048,0.230816,0.582988,0.561883,1.266137,1.295790,0.326040,0.277163
11600,0.223659,0.230470,0.585062,0.565095,1.264017,1.293912,0.328413,0.279656
11700,0.223304,0.230166,0.589212,0.568496,1.262034,1.292202,0.330509,0.281815
11800,0.222980,0.229896,0.601660,0.571162,1.260188,1.290636,0.332370,0.283709
11900,0.222682,0.229650,0.601660,0.573051,1.258466,1.289184,0.334048,0.285413
12000,0.222405,0.229421,0.605809,0.574898,1.256848,1.287811,0.335595,0.286998
12100,0.222143,0.229201,0.612033,0.575675,1.255314,1.286492,0.337053,0.288515
12200,0.221892,0.228984,0.618257,0.576347,1.253847,1.285206,0.338453,0.290000
12300,0.221650,0.228769,0.616183,0.577228,1.252429,1.283938,0.339817,0.291475
12400,0.221412,0.228552,0.612033,0.577564,1.251047,1.282678,0.341165,0.292956
12500,0.221176,0.228332,0.612033,0.577522,1.249686,1.281417,0.342509,0.294453
12600,0.220939,0.228107,0.607884,0.578089,1.248334,1.280146,0.343863,0.295975
12700,0.220701,0.227877,0.607884,0.578446,1.246980,1.278857,0.345240,0.297531
12800,0.220457,0.227638,0.607884,0.578677,1.245611,1.277543,0.346651,0.299133
12900,0.220207,0.227391,0.605809,0.578467,1.244217,1.276193,0.348109,0.300792
13000,0.219948,0.227131,0.605809,0.578089,1.242786,1.274795,0.349627,0.302523
13100,0.219676,0.226856,0.607884,0.577060,1.241305,1.273335,0.351221,0.304348
13200,0.219390,0.226562,0.609959,0.576536,1.239758,1.271795,0.352912,0.306295
13300,0.219083,0.226243,0.609959,0.575444,1.238128,1.270149,0.354725,0.308399
13400,0.218753,0.225892,0.612033,0.572190,1.236392,1.268368,0.356691,0.310706
13500,0.218392,0.225500,0.612033,0.568139,1.234524,1.266418,0.358843,0.313266
13600,0.217996,0.225061,0.607884,0.564465,1.232499,1.264263,0.361213,0.316130
13700,0.217560,0.224566,0.605809,0.558063,1.230298,1.261872,0.363818,0.319335
13800,0.217085,0.224016,0.605809,0.552815,1.227918,1.259235,0.366646,0.322884
13900,0.216577,0.223416,0.593361,0.547357,1.225380,1.256376,0.369635,0.326719
14000,0.216052,0.222785,0.597510,0.542760,1.222743,1.253364,0.372673,0.330705
14100,0.215531,0.222151,0.593361,0.540745,1.220091,1.250308,0.375605,0.334650
14200,0.215037,0.221545,0.574689,0.539632,1.217520,1.247336,0.378285,0.338346
14300,0.214587,0.220992,0.576763,0.544145,1.215110,1.244560,0.380619,0.341638
14400,0.215730,0.223247,0.603734,0.590096,1.219292,1.253286,0.370781,0.327515
14500,0.214756,0.221898,0.585062,0.568370,1.214780,1.247253,0.376800,0.335289
14600,0.214448,0.221574,0.587137,0.560414,1.212900,1.245369,0.378327,0.337227
14700,0.214038,0.221075,0.585062,0.555103,1.210672,1.242819,0.380599,0.340156
14800,0.213684,0.220649,0.585062,0.554536,1.208712,1.240601,0.382540,0.342648
14900,0.213394,0.220322,0.585062,0.555376,1.207050,1.238816,0.384066,0.344549
15000,0.213137,0.220047,0.589212,0.557412,1.205549,1.237264,0.385396,0.346144
15100,0.212910,0.219823,0.589212,0.558798,1.204193,1.235942,0.386540,0.347435
15200,0.212703,0.219635,0.587137,0.560162,1.202939,1.234784,0.387564,0.348515
15300,0.212511,0.219475,0.591286,0.561275,1.201760,1.233755,0.388502,0.349431
15400,0.212327,0.219334,0.591286,0.562303,1.200629,1.232812,0.389394,0.350243
15500,0.212147,0.219203,0.595436,0.562765,1.199522,1.231922,0.390271,0.350994
15600,0.211965,0.219075,0.599585,0.562807,1.198419,1.231050,0.391163,0.351730
15700,0.211778,0.218943,0.595436,0.563269,1.197299,1.230168,0.392097,0.352488
15800,0.211582,0.218800,0.593361,0.564171,1.196151,1.229252,0.393089,0.353298
15900,0.211376,0.218645,0.591286,0.565557,1.194966,1.228290,0.394150,0.354176
16000,0.211159,0.218477,0.589212,0.566313,1.193745,1.227278,0.395274,0.355122
16100,0.210935,0.218299,0.593361,0.566879,1.192496,1.226227,0.396446,0.356123
16200,0.210706,0.218113,0.589212,0.567992,1.191231,1.225152,0.397646,0.357158
16300,0.210475,0.217926,0.593361,0.569272,1.189964,1.224071,0.398851,0.358202
16400,0.210246,0.217740,0.593361,0.570658,1.188704,1.222996,0.400044,0.359235
16500,0.210021,0.217558,0.589212,0.571498,1.187461,1.221940,0.401213,0.360243
16600,0.209801,0.217382,0.587137,0.572547,1.186239,1.220909,0.402350,0.361218
16700,0.209586,0.217212,0.589212,0.573387,1.185042,1.219906,0.403452,0.362154
16800,0.209377,0.217050,0.589212,0.574184,1.183871,1.218933,0.404516,0.363051
